
student_id,name,gender,age,branch,year,city,attendance,assignment_score,internal_marks,external_marks,study_hours,online_hours,library_visits,practice_tests,sleep_hours,preferred_resource,test_date,test_score,study_mode,remarks,total_marks,average_score,performance_category,attendance_normalized,assignment_score_normalized,internal_marks_normalized,external_marks_normalized,study_hours_normalized,attendance_standardized,assignment_score_standardized,internal_marks_standardized,external_marks_standardized,study_hours_standardized,gender_encoded,attendance_category,study_hours_log,study_level
ST001,Priya A,Male,20,CSE,3,Kakinada,66.9,67.1,75.5,82.0,4.1,4.3,12.0,12,6.4,Notes,2026-07-29,58.8,Offline,Excellent,157.5,74.86666666666666,Good,0.2644444444444445,0.45166666666666655,0.6036585365853658,0.6911196911196911,0.3768115942028985,-0.873539396566692,-0.1743511576169855,-0.246885874315262,0.23722745163097428,-0.360678391253032,1,Average,1.62924053973028,Medium
ST002,Arjun B,Male,22,AIML,3,Eluru,82.9,82.1,87.7,86.6,6.5,5.5,7.0,9,6.6,Practice Platforms,2026-07-29,80.3,Online,Excellent,174.3,85.46666666666665,Excellent,0.6200000000000001,0.7016666666666665,0.8516260162601627,0.7799227799227797,0.7246376811594204,0.3764573550193215,0.8751140768351725,0.6423114293590736,0.5618743013441279,0.7813112380441658,1,Good,2.0149030205422647,High
ST003,Ananya C,Male,18,CSE,3,Kakinada,55.0,69.4,73.7,56.6,3.6,6.4,6.0,9,5.8,Practice Platforms,2026-08-16,64.8,Offline,Needs Improvement,130.3,66.56666666666668,Average,0.0,0.4900000000000001,0.5670731707317075,0.20077220077220082,0.3043478260869565,-1.8032244805587898,-0.013433155000987136,-0.37807891911967195,-1.5553877620025276,-0.5985928973566147,1,Low,1.5260563034950492,Medium
ST004,Varun D,Male,22,CSE,3,Eluru,60.6,44.5,73.1,62.1,2.5,2.1,9.0,1,7.1,Practice Platforms,2026-08-11,48.3,Online,Excellent,135.2,59.9,Average,0.12444444444444436,0.07500000000000007,0.5548780487804877,0.3069498069498069,0.14492753623188404,-1.3657256175036852,-1.7555454441915697,-0.4218099340544759,-1.167223050388974,-1.1220048107844969,1,Average,1.252762968495368,Medium
ST005,Divya E,Female,22,ECE,3,Vijayawada,86.8,61.1,71.8,67.2,2.9,0.6,11.0,3,5.5,Books,,74.5,Offline,Needs Improvement,139.0,66.7,Average,0.7066666666666666,0.3516666666666667,0.5284552845528455,0.4054054054054055,0.20289855072463764,0.6811440632184116,-0.5941372513978482,-0.5165604664132164,-0.8072884996200425,-0.9316732059016307,0,Good,1.3609765531356006,Medium
ST006,Sneha F,Female,20,ECE,3,Nellore,79.8,54.5,60.5,80.4,2.7,3.8,10.0,6,7.5,Videos,2026-08-13,67.7,Online,Needs Improvement,140.9,65.13333333333334,Average,0.5511111111111111,0.2416666666666667,0.2987804878048782,0.6602316602316602,0.17391304347826086,0.13427048439953074,-1.0559019545567978,-1.3401612476853464,0.12430680825248637,-1.0268390083430636,0,Good,1.308332819650179,Medium
ST007,Kiran G,Female,18,AIML,3,Eluru,62.8,55.2,61.1,66.9,2.4,4.4,10.0,2,6.6,Books,2026-08-15,56.2,Offline,Excellent,128.0,61.06666666666667,Average,0.17333333333333312,0.2533333333333334,0.3109756097560977,0.3996138996138996,0.13043478260869562,-1.1938510641606086,-1.0069269102823635,-1.296430232750543,-0.8284611202535088,-1.1695877120052136,0,Average,1.2237754316221157,Medium
ST008,Priya H,Female,20,EEE,3,Rajahmundry,85.7,59.9,79.9,90.3,6.1,0.6,3.0,5,7.5,Online,2026-08-27,78.8,Online,Average,170.2,76.7,Good,0.6822222222222223,0.33166666666666667,0.6930894308943091,0.8513513513513513,0.6666666666666665,0.5952067865468736,-0.678094470154021,0.07380823520662987,0.8230032891568823,0.5909796331612993,0,Good,1.9600947840472698,High
ST009,Ananya I,Female,22,AIML,3,Eluru,96.4,94.7,95.0,90.3,8.3,1.3,1.0,5,8.5,Online,2026-08-08,92.5,Online,Excellent,185.3,93.33333333333333,Excellent,0.9199999999999999,0.9116666666666667,1.0,0.8513513513513513,0.9855072463768118,1.4311421141700202,1.7566648737749857,1.1743721110658478,0.8230032891568823,1.6378034600170643,0,Excellent,2.2300144001592104,Very High
ST010,Rahul J,Female,22,ECE,3,Kakinada,68.1,69.2,72.1,56.2,3.4,4.5,6.0,14,8.4,Practice Platforms,2026-07-09,45.3,Offline,Average,128.3,65.83333333333333,Average,0.2911111111111109,0.4866666666666667,0.5345528455284553,0.1930501930501931,0.2753623188405797,-0.7797896401977418,-0.027426024793682776,-0.4946949589458149,-1.5836179228471496,-0.6937586997980478,0,Average,1.4816045409242156,Medium
